Section,Period,DO,Metric,Value
EVCS Commissioning (FAME-II),,Ajmer,PESO CA Applied,59
EVCS Commissioning (FAME-II),,Ajmer,% PESO Applied vs MOU,100
EVCS Commissioning (FAME-II),,Ajmer,PESO CA Obtained,59
EVCS Commissioning (FAME-II),,Ajmer,Electricity Applied,59
EVCS Commissioning (FAME-II),,Ajmer,% Electricity Applied vs MOU,100
EVCS Commissioning (FAME-II),,Ajmer,Demand Note Received,59
EVCS Commissioning (FAME-II),,Ajmer,Payment Made,59
EVCS Commissioning (FAME-II),,Ajmer,Electricity Connection Received,59
EVCS Commissioning (FAME-II),,Ajmer,IO Obtained,59
EVCS Commissioning (FAME-II),,Ajmer,% IO Obtained vs MOU,100
EVCS Commissioning (FAME-II),,Ajmer,PO Placed Civil Const.,100
EVCS Commissioning (FAME-II),,Ajmer,Civil Const. Completed,100
EVCS Commissioning (FAME-II),,Ajmer,Charger Delivered,59
EVCS Commissioning (FAME-II),,Ajmer,Commissioned,59
EVCS Commissioning (FAME-II),,Jaipur,Target 2024-25,63
EVCS Commissioning (FAME-II),,Jaipur,PESO CA Applied,63
EVCS Commissioning (FAME-II),,Jaipur,% PESO Applied vs MOU,100
EVCS Commissioning (FAME-II),,Jaipur,PESO CA Obtained,63
EVCS Commissioning (FAME-II),,Jaipur,Electricity Applied,63
EVCS Commissioning (FAME-II),,Jaipur,% Electricity Applied vs MOU,100
EVCS Commissioning (FAME-II),,Jaipur,Demand Note Received,63
EVCS Commissioning (FAME-II),,Jaipur,Payment Made,63
EVCS Commissioning (FAME-II),,Jaipur,Electricity Connection Received,63
EVCS Commissioning (FAME-II),,Jaipur,IO Obtained,63
EVCS Commissioning (FAME-II),,Jaipur,% IO Obtained vs MOU,100
EVCS Commissioning (FAME-II),,Jaipur,PO Placed Civil Const.,100
EVCS Commissioning (FAME-II),,Jaipur,Civil Const. Completed,100
EVCS Commissioning (FAME-II),,Jaipur,Charger Delivered,63
EVCS Commissioning (FAME-II),,Jaipur,Commissioned,63
EVCS Commissioning (FAME-II),,Jodhpur,Target 2024-25,33
EVCS Commissioning (FAME-II),,Jodhpur,PESO CA Applied,33
EVCS Commissioning (FAME-II),,Jodhpur,% PESO Applied vs MOU,100
EVCS Commissioning (FAME-II),,Jodhpur,PESO CA Obtained,33
EVCS Commissioning (FAME-II),,Jodhpur,Electricity Applied,33
EVCS Commissioning (FAME-II),,Jodhpur,% Electricity Applied vs MOU,100
EVCS Commissioning (FAME-II),,Jodhpur,Demand Note Received,33
EVCS Commissioning (FAME-II),,Jodhpur,Payment Made,33
EVCS Commissioning (FAME-II),,Jodhpur,Electricity Connection Received,32
EVCS Commissioning (FAME-II),,Jodhpur,IO Obtained,33
EVCS Commissioning (FAME-II),,Jodhpur,% IO Obtained vs MOU,100
EVCS Commissioning (FAME-II),,Jodhpur,PO Placed Civil Const.,100
EVCS Commissioning (FAME-II),,Jodhpur,Civil Const. Completed,100
EVCS Commissioning (FAME-II),,Jodhpur,Charger Delivered,33
EVCS Commissioning (FAME-II),,Jodhpur,Commissioned,33
EVCS Commissioning (FAME-II),,Udaipur,Target 2024-25,37
EVCS Commissioning (FAME-II),,Udaipur,PESO CA Applied,37
EVCS Commissioning (FAME-II),,Udaipur,% PESO Applied vs MOU,100
EVCS Commissioning (FAME-II),,Udaipur,PESO CA Obtained,37
EVCS Commissioning (FAME-II),,Udaipur,Electricity Applied,37
EVCS Commissioning (FAME-II),,Udaipur,% Electricity Applied vs MOU,100
EVCS Commissioning (FAME-II),,Udaipur,Demand Note Received,37
EVCS Commissioning (FAME-II),,Udaipur,Payment Made,37
EVCS Commissioning (FAME-II),,Udaipur,Electricity Connection Received,37
EVCS Commissioning (FAME-II),,Udaipur,IO Obtained,37
EVCS Commissioning (FAME-II),,Udaipur,% IO Obtained vs MOU,100
EVCS Commissioning (FAME-II),,Udaipur,PO Placed Civil Const.,100
EVCS Commissioning (FAME-II),,Udaipur,Civil Const. Completed,100
EVCS Commissioning (FAME-II),,Udaipur,Charger Delivered,37
EVCS Commissioning (FAME-II),,Udaipur,Commissioned,37
EVCS Commissioning (FAME-II),,RSO,Target 2024-25,192
EVCS Commissioning (FAME-II),,RSO,PESO CA Applied,192
EVCS Commissioning (FAME-II),,RSO,% PESO Applied vs MOU,100
EVCS Commissioning (FAME-II),,RSO,PESO CA Obtained,192
EVCS Commissioning (FAME-II),,RSO,Electricity Applied,192
EVCS Commissioning (FAME-II),,RSO,% Electricity Applied vs MOU,100
EVCS Commissioning (FAME-II),,RSO,Demand Note Received,192
EVCS Commissioning (FAME-II),,RSO,Payment Made,192
EVCS Commissioning (FAME-II),,RSO,Electricity Connection Received,192
EVCS Commissioning (FAME-II),,RSO,IO Obtained,192
EVCS Commissioning (FAME-II),,RSO,% IO Obtained vs MOU,100
EVCS Commissioning (FAME-II),,RSO,PO Placed Civil Const.,100
EVCS Commissioning (FAME-II),,RSO,Civil Const. Completed,100
EVCS Commissioning (FAME-II),,RSO,Charger Delivered,192
EVCS Commissioning (FAME-II),,RSO,Commissioned,192
DAR 24-25,,Ajmer,Approved,609
